,Unnamed: 0.1,Unnamed: 0,Name,Language,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,0,0,Acokanthera laevigata,['en'],Acokanthera laevigata,Acokanthera laevigata,899079-1,899079-1,Species
1,1,1,Acokanthera oblongifolia,"['es', 'en', 'fr']",Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,77164695-1,Species
2,2,2,Acokanthera oppositifolia,"['es', 'en', 'fr']",Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,76349-1,Species
3,3,3,Acokanthera rotundata,['en'],Acokanthera rotundata,Acokanthera rotundata,909903-1,909903-1,Species
4,4,4,Acokanthera schimperi,"['es', 'en', 'fr']",Acokanthera schimperi,Acokanthera schimperi,60447729-2,60447729-2,Species
5,5,5,Adenium boehmianum,"['es', 'en']",Adenium boehmianum,Adenium boehmianum,76360-1,76360-1,Species
6,6,6,Adenium multiflorum,['en'],Adenium multiflorum,Adenium multiflorum,76366-1,76366-1,Species
7,7,7,Adenium obesum,"['es', 'en', 'fr', 'pt']",Adenium obesum,Adenium obesum,76369-1,76369-1,Species
8,8,8,Adenium oleifolium,['en'],Adenium oleifolium,Adenium oleifolium,76370-1,76370-1,Species
9,9,9,Adenium swazicum,['en'],Adenium swazicum,Adenium swazicum,76374-1,76374-1,Species
10,10,10,Aganosma cymosa,['en'],Aganosma cymosa,Aganosma cymosa,76388-1,76388-1,Species
11,11,11,Alafia alba,['pt'],Alafia alba,Alafia alba,76416-1,76416-1,Species
12,12,12,Alafia barteri,['en'],Alafia barteri,Alafia barteri,76417-1,76417-1,Species
13,13,13,Alafia caudata,['en'],Alafia caudata,Alafia caudata,76422-1,76422-1,Species
14,14,14,Alafia landolphioides,['en'],Alafia landolphioides,Alafia landolphioides,77176689-1,77176689-1,Species
15,15,15,Alafia lucida,['en'],Alafia lucida,Alafia lucida,76437-1,76437-1,Species
16,16,16,Alafia multiflora,['en'],Alafia multiflora,Alafia multiflora,76446-1,76446-1,Species
17,17,17,Alafia orientalis,['en'],Alafia orientalis,Alafia orientalis,76448-1,76448-1,Species
18,18,18,Alafia parciflora,['fr'],Alafia parciflora,Alafia parciflora,76449-1,76449-1,Species
19,19,19,Alafia zambesiaca,['en'],Alafia zambesiaca,Alafia zambesiaca,896867-1,896867-1,Species
20,20,20,Allamanda angustifolia,"['es', 'en']",Allamanda angustifolia,Allamanda angustifolia,76466-1,76466-1,Species
21,21,21,Allamanda blanchetii,"['en', 'fr', 'pt']",Allamanda blanchetii,Allamanda blanchetii,76468-1,76468-1,Species
22,22,22,Allamanda cathartica,"['es', 'en', 'fr', 'pt']",Allamanda cathartica,Allamanda cathartica,319065-2,319065-2,Species
23,23,23,Allamanda polyantha,['en'],Allamanda polyantha,Allamanda polyantha,76484-1,76484-1,Species
